# https://finance.yahoo.com/quote/BTC-USD/history/,,,,
Open,High,Low,Volume,Close
62431.65234,62458.69922,61657.28906,23888473685,62029.84766
62031.57813,63230.21094,61435.02344,26253811450,63167.37109
63137.00391,68537.03125,62386.51953,70670471105,68330.41406
68341.05469,69170.625,59323.91016,1.03E+11,63801.19922
63776.05078,67637.92969,62848.67188,68750229073,66106.80469
66099.74219,68029.92188,65655.53125,46989543159,66925.48438
66938.09375,70083.05469,66230.45313,59202881172,68300.09375
68299.25781,68673.05469,68053.125,21609650379,68498.88281
68500.25781,70005.20313,68239.97656,35683977532,69019.78906
69020.54688,72850.71094,67194.88281,65716656765,72123.90625
72125.125,72825.65625,68728.85156,62554434520,71481.28906
71482.11719,73637.47656,71334.09375,48212536929,73083.5
73079.375,73750.07031,68563.02344,59594605698,71396.59375
71387.875,72357.13281,65630.69531,78320453976,69403.77344
69392.48438,70046.27344,64801.39453,46842198371,65315.11719
65316.34375,68845.71875,64545.31641,44716864318,68390.625
68371.30469,68897.13281,66594.22656,49261579492,67548.59375
67556.13281,68106.92969,61536.17969,74215844794,61912.77344
61930.15625,68115.25781,60807.78516,66792634382,67913.67188
67911.58594,68199.99219,64580.91797,44480350565,65491.39063
65489.92969,66623.75,62355.37109,41401116964,63778.76172
63802.72266,65976.39844,63038.49219,24738964812,64062.20313
64070.75391,67622.75781,63825.85156,27206630673,67234.17188
67234.09375,71162.59375,66414.83594,42700139523,69958.8125
69931.32813,71535.74219,69335.60938,36010437368,69987.83594
